Designator,Mid X,Mid Y,Rotation,Layer
D1,151.23,-110.0,0.0,top
D2,113.23,-94.0,0.0,top
D3,113.23,-101.5,0.0,top
D4,113.23,-109.0,0.0,top
D5,138.23,-128.5,0.0,top
D6,144.23,-128.5,0.0,top
D7,123.23,-128.5,0.0,top
H1,112.0,-72.0,0.0,top
H2,152.5,-72.0,0.0,top
H3,152.5,-131.0,0.0,top
H4,111.5,-131.0,0.0,top
J1,112.73,-85.5,90.0,top
J2,151.5,-87.42,0.0,top
J3,112.73,-79.5,90.0,top
R1,151.0,-118.81,90.0,top
R2,109.75,-118.25,270.0,top
R3,113.0,-118.25,270.0,top
R4,116.25,-118.25,270.0,top
R5,128.5,-128.81,90.0,top
R6,133.0,-128.81,90.0,top
R7,119.0,-128.81,90.0,top
U1,132.05,-99.24,0.0,top
