Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D12.5mm_P5.00mm,1,1000μF,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1μF,
D1,LED_D3.0mm,1,LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,pwm,
J2,PinHeader_1x03_P2.54mm_Vertical,1,servo1,
J3,PinHeader_1x03_P2.54mm_Vertical,1,servo2,
J4,PinHeader_1x03_P2.54mm_Vertical,1,servo3,
J5,PinHeader_1x03_P2.54mm_Vertical,1,servo4,
J6,PinHeader_1x03_P2.54mm_Vertical,1,servo5,
P1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,220Ω,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
